variable,group,value
2021-12-05,43016,160.0
2021-12-12,43016,178.0
2021-12-19,43016,209.0
2021-12-26,43016,356.0
2022-01-02,43016,647.0
2022-01-09,43016,0.0
2022-01-16,43016,0.0
2022-01-23,43016,902.0
2022-01-30,43016,584.0
2022-02-06,43016,325.0
2022-02-13,43016,176.0
2022-02-20,43016,87.0
2022-02-27,43016,49.0
2022-03-06,43016,37.0
2022-03-13,43016,26.0
2022-03-24,43016,29.0
2022-03-31,43016,27.0
2022-04-07,43016,36.0
2022-04-21,43016,65.0
2022-04-28,43016,85.0
2022-05-05,43016,98.0
2022-05-12,43016,136.0
2022-05-19,43016,208.0
2022-05-26,43016,205.0
2022-06-02,43016,154.0
2022-06-09,43016,162.0
2022-06-23,43016,151.0
2022-06-30,43016,154.0
2022-07-07,43016,170.0
2022-07-14,43016,167.0
2022-07-21,43016,164.0
2022-07-28,43016,182.0
2022-08-04,43016,145.0
2022-08-11,43016,131.0
2022-08-18,43016,112.0
2022-08-25,43016,109.0
2022-09-01,43016,103.0
2022-09-08,43016,81.0
2022-09-15,43016,101.0
2022-09-22,43016,81.0
2022-09-29,43016,54.0
2022-10-06,43016,46.0
2022-10-13,43016,46.0
2022-10-20,43016,44.0
2022-10-27,43016,60.0
2022-11-03,43016,64.0
2022-11-10,43016,58.0
2022-11-17,43016,52.0
2022-11-23,43016,60.0
2022-12-01,43016,59.0
2022-12-08,43016,71.0
2022-12-15,43016,101.0
2022-12-22,43016,101.0
2022-12-29,43016,97.0
2023-02-23,43016,31.0
2023-03-02,43016,29.0
2023-03-09,43016,37.0
2023-03-16,43016,37.0
2023-03-23,43016,40.0
2023-03-30,43016,49.0
2023-04-06,43016,49.0
2023-04-13,43016,49.0
2023-04-20,43016,23.0
2023-04-27,43016,19.0
2023-05-04,43016,14.0
2023-05-11,43016,13.0
2023-05-18,43016,13.0
2023-05-25,43016,13.0
2021-09-26,43017,168.0
2021-10-03,43017,152.0
2021-10-17,43017,119.0
2021-10-24,43017,84.0
2021-10-31,43017,67.0
2021-11-07,43017,89.0
2021-11-14,43017,121.0
2021-11-17,43017,130.0
2021-11-28,43017,119.0
2021-12-01,43017,144.0
2021-12-05,43017,167.0
2021-12-12,43017,180.0
2021-12-19,43017,188.0
2021-12-26,43017,358.0
2022-01-02,43017,654.0
2022-01-09,43017,910.0
2022-01-16,43017,0.0
2022-01-23,43017,0.0
2022-01-30,43017,619.0
2022-02-06,43017,316.0
2022-02-13,43017,178.0
2022-02-20,43017,102.0
2022-02-27,43017,72.0
2022-03-06,43017,38.0
2022-03-13,43017,24.0
2022-03-24,43017,23.0
2022-03-31,43017,21.0
2022-04-07,43017,30.0
2022-04-21,43017,57.0
2022-04-28,43017,73.0
2022-05-05,43017,106.0
2022-05-12,43017,152.0
2022-05-19,43017,146.0
2022-05-26,43017,152.0
2022-06-02,43017,152.0
2022-06-09,43017,124.0
2022-06-23,43017,98.0
2022-06-30,43017,104.0
2022-07-07,43017,99.0
2022-07-14,43017,133.0
2022-07-21,43017,165.0
2022-07-28,43017,168.0
2022-08-04,43017,147.0
2022-08-11,43017,102.0
2022-08-18,43017,95.0
2022-08-25,43017,88.0
2022-09-01,43017,108.0
2022-09-08,43017,90.0
2022-09-15,43017,70.0
2022-09-22,43017,49.0
2022-09-29,43017,44.0
2022-10-06,43017,43.0
2022-10-13,43017,43.0
2022-10-20,43017,44.0
2022-10-27,43017,57.0
2022-11-03,43017,53.0
2022-11-10,43017,50.0
2022-11-17,43017,44.0
2022-11-23,43017,47.0
2022-12-01,43017,51.0
